guide_language_id,language,guide_id
1,"English",1
2,"Spanish",1
3,"French",2
4,"Mandarin",3
5,"Italian",4
6,"German",5
7,"Portuguese",6
8,"Japanese",7
9,"Korean",8
10,"Russian",9
11,"Arabic",10
12,"Hindi",11
13,"Thai",12
14,"Vietnamese",13
15,"Greek",14
16,"Turkish",15
17,"Swedish",16
18,"Dutch",17
19,"Hebrew",18
20,"Polish",19
21,"Czech",20
22,"Hungarian",21
23,"Norwegian",22
24,"Finnish",23
25,"Danish",24
26,"Indonesian",25
27,"Tagalog",26
28,"Swahili",27
29,"Bengali",28
30,"Urdu",29
31,"Malay",30
32,"Cantonese",31
33,"Nepali",32
34,"French",33
35,"Spanish",34
36,"Italian",35
37,"German",36
38,"English",37
39,"Portuguese",38
40,"Japanese",39
41,"Mandarin",40
42,"Arabic",41
43,"Hindi",42
44,"Russian",43
45,"Korean",44
46,"Turkish",45
47,"Thai",46
48,"Vietnamese",47
49,"Greek",48
50,"Hebrew",49
