preference_id,destination,traveler_id
1,Italy,3
2,Thailand,14
3,Japan,8
4,France,20
5,Australia,11
6,Indonesia,5
7,Spain,19
8,Switzerland,1
9,Greece,10
10,Canada,16
11,New Zealand,2
12,USA,15
13,Portugal,4
14,Morocco,18
15,Peru,9
16,Iceland,13
17,Mexico,7
18,Vietnam,21
19,South Africa,6
20,Scotland,12
21,Germany,17
22,Norway,22
23,Croatia,23
24,Brazil,24
25,Ireland,25
26,Netherlands,3
27,Turkey,9
28,Argentina,17
29,Finland,1
30,Egypt,11
31,Cambodia,22
32,Chile,20
33,India,18
34,Sweden,15
35,Costa Rica,8
36,Bali,14
37,Jordan,13
38,Cuba,10
39,Slovenia,5
40,Malta,19
41,Czech Republic,12
42,Austria,4
43,Colombia,24
44,Singapore,16
45,South Korea,26
46,Tanzania,23
47,Hawaii,7
48,Denmark,25
49,Maldives,6
50,Ecuador,21
